x,y
188.19366,-218.90427
186.3566,-220.60085
182.43391,-223.6039
178.2131,-226.14787
173.69446,-228.24277
168.87817,-229.89862
163.7645,-231.12547
158.35364,-231.93333
152.64581,-232.33226
149.66827,-232.36508
147.39288,-232.31668
142.08698,-231.73578
132.54214,-229.84784
116.492096,-225.20053
96.81541,-218.2294
85.46564,-213.77557
74.00824,-208.94586
52.852913,-201.1571
33.990463,-195.53499
21.55233,-192.751
14.029838,-191.48354
10.55365,-191.0556
5.16626,-196.2555
5.423386,-199.98904
6.4343777,-207.92343
8.043006,-216.39832
10.250996,-225.39114
13.060068,-234.87936
16.471947,-244.8404
20.488356,-255.25171
25.111015,-266.09076
27.675598,-271.68005
30.231792,-277.24878
34.762936,-287.9856
38.608162,-298.24167
41.78035,-308.01697
44.29235,-317.31152
46.15705,-326.1253
47.387314,-334.45825
47.996017,-342.31042
48.046204,-346.0362
48.01277,-349.4978
47.61759,-356.17505
46.839294,-362.5451
45.689934,-368.59467
44.18158,-374.31036
42.326275,-379.67886
40.136086,-384.6868
37.62307,-389.32086
36.236572,-391.4771
34.606018,-393.56473
31.08557,-397.25702
27.243803,-400.38177
23.069479,-402.95233
18.551363,-404.98206
13.678217,-406.48438
8.438807,-407.4725
2.8218923,-407.9599
-0.14807129,-407.99997
-3.1178594,-407.95935
-8.728441,-407.46655
-13.9434395,-406.47003
-18.761976,-404.959
-23.183172,-402.9226
-27.20615,-400.34995
-30.830029,-397.2302
-34.053932,-393.5525
-35.4989,-391.4771
-37.07064,-389.32086
-39.879715,-384.6868
-42.28749,-379.67886
-44.293976,-374.31036
-45.899166,-368.59467
-47.103058,-362.5451
-47.905655,-356.17505
-48.306953,-349.4978
-48.340393,-346.0362
-48.29023,-342.3232
-47.681755,-334.49106
-46.45186,-326.17142
-44.58757,-317.36432
-42.075935,-308.06976
-38.903976,-298.28778
-35.05875,-288.01837
-30.527287,-277.26154
-27.970764,-271.68005
-25.406172,-266.09076
-20.783497,-255.25171
-16.767082,-244.8404
-13.355204,-234.87936
-10.546131,-225.39114
-8.3381405,-216.39832
-6.7295055,-207.92343
-5.7185016,-199.98904
-5.4613647,-196.2555
-10.77478,-191.0556
-14.242447,-191.48354
-21.67445,-192.751
-33.86841,-195.53499
-52.32821,-201.1571
-73.20256,-208.94586
-84.651,-213.77557
-96.00939,-218.2294
-115.96677,-225.20053
-132.41983,-229.84784
-142.20963,-231.73578
-147.60681,-232.31668
-149.89124,-232.36508
-152.86926,-232.33281
-158.57738,-231.93932
-163.98799,-231.13979
-169.10107,-229.92169
-173.9166,-228.2725
-178.43463,-226.1797
-182.65515,-223.63074
-186.57812,-220.61308
-188.41565,-218.90427
-190.19455,-217.15927
-193.40642,-213.5694
-196.19315,-209.84015
-198.54346,-205.94983
-200.44614,-201.87671
-201.89001,-197.59915
-202.8638,-193.09543
-203.35632,-188.34386
-203.39783,-185.85666
-203.35632,-183.36946
-202.8638,-178.61789
-201.88998,-174.11417
-200.44614,-169.83661
-198.54343,-165.76352
-196.19312,-161.87318
-193.40639,-158.14392
-190.19452,-154.55405
-188.41565,-152.80905
-186.57812,-151.11263
-182.65515,-148.10977
-178.43466,-145.56587
-173.91663,-143.47095
-169.10107,-141.815
-163.988,-140.58804
-158.57741,-139.78006
-152.86928,-139.38107
-149.89124,-139.34824
-146.8251,-139.39664
-140.1835,-139.97754
-132.90659,-141.13934
-124.96757,-142.88208
-111.85013,-146.51279
-91.678,-153.48389
-80.29645,-157.93771
-68.937706,-162.4246
-48.775826,-169.83942
-31.50629,-175.46152
-16.935333,-179.37779
-10.701599,-180.65771
-21.402405,-149.67581
-5.314209,408.0
5.387451,408.0
21.476562,-149.67578
10.774841,-180.65768
16.98335,-179.37776
31.52256,-175.46149
48.77693,-169.83939
68.93372,-162.42458
80.29169,-157.93768
91.67395,-153.48386
111.846954,-146.51276
124.9648,-142.88205
132.90405,-141.13931
140.18117,-139.97751
146.82304,-139.3966
149.88934,-139.3482
152.86856,-139.38048
158.5784,-139.77397
163.98996,-140.5735
169.1034,-141.7916
173.91876,-143.44078
178.43622,-145.53358
182.65588,-148.08255
186.57787,-151.1002
188.41486,-152.80902
190.19308,-154.55402
193.40427,-158.14389
196.19084,-161.87314
198.54144,-165.76346
200.4447,-169.83658
201.88919,-174.11414
202.86359,-178.61784
203.35646,-183.36942
203.39801,-185.8566
203.35474,-188.34378
202.84369,-193.09535
201.8382,-197.59906
200.3548,-201.87662
198.41003,-205.94974
196.02054,-209.84006
193.20285,-213.56932
189.97351,-217.15921
188.19354,-218.9042
188.19366,-218.90427
188.19366,-218.90427
